iso3,country_name,region,income_level,latitude,longitude,is_ghana,is_west_africa,subregion
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,36.7397,3.05097,FALSE,FALSE,North Africa
AGO,Angola,Sub-Saharan Africa,Lower middle income,-8.81155,13.242,FALSE,FALSE,Sub-Saharan Africa
BEN,Benin,Sub-Saharan Africa,Lower middle income,6.4779,2.6323,FALSE,TRUE,Sub-Saharan Africa
BWA,Botswana,Sub-Saharan Africa,Upper middle income,-24.6544,25.9201,FALSE,FALSE,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa,Low income,12.3605,-1.53395,FALSE,TRUE,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa,Low income,-3.3784,29.3639,FALSE,FALSE,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,14.9218,-23.5087,FALSE,TRUE,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,3.8721,11.5174,FALSE,FALSE,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa,Low income,5.63056,21.6407,FALSE,FALSE,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa,Low income,12.1048,15.0445,FALSE,FALSE,Sub-Saharan Africa
COM,Comoros,Sub-Saharan Africa,Lower middle income,-11.6986,43.2418,FALSE,FALSE,Sub-Saharan Africa
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,-4.325,15.3222,FALSE,FALSE,Sub-Saharan Africa
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,-4.2767,15.2662,FALSE,FALSE,Sub-Saharan Africa
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,5.332,-4.0305,FALSE,TRUE,Sub-Saharan Africa
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,30.0982,31.2461,FALSE,FALSE,North Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,3.7523,8.7741,FALSE,FALSE,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa,Low income,15.3315,38.9183,FALSE,FALSE,Sub-Saharan Africa
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,-26.5225,31.4659,FALSE,FALSE,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa,Not classified,9.02274,38.7468,FALSE,FALSE,Sub-Saharan Africa
GAB,Gabon,Sub-Saharan Africa,Upper middle income,0.38832,9.45162,FALSE,FALSE,Sub-Saharan Africa
GMB,"Gambia, The",Sub-Saharan Africa,Low income,13.4495,-16.5885,FALSE,TRUE,Sub-Saharan Africa
GHA,Ghana,Sub-Saharan Africa,Lower middle income,5.57045,-0.20795,TRUE,TRUE,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa,Lower middle income,9.51667,-13.7,FALSE,TRUE,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,11.8037,-15.1804,FALSE,TRUE,Sub-Saharan Africa
KEN,Kenya,Sub-Saharan Africa,Lower middle income,-1.27975,36.8126,FALSE,FALSE,Sub-Saharan Africa
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,-29.5208,27.7167,FALSE,FALSE,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa,Low income,6.30039,-10.7957,FALSE,TRUE,Sub-Saharan Africa
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,32.8578,13.1072,FALSE,FALSE,North Africa
MDG,Madagascar,Sub-Saharan Africa,Low income,-20.4667,45.7167,FALSE,FALSE,Sub-Saharan Africa
