iso3,year,indicator_code,value
AGO,2000,SH.DYN.MORT,185
AGO,2001,SH.DYN.MORT,176.3
AGO,2002,SH.DYN.MORT,166.4
AGO,2003,SH.DYN.MORT,155.5
AGO,2004,SH.DYN.MORT,143.7
AGO,2005,SH.DYN.MORT,131.5
AGO,2006,SH.DYN.MORT,119.8
AGO,2007,SH.DYN.MORT,109
AGO,2008,SH.DYN.MORT,99.2
AGO,2009,SH.DYN.MORT,90.7
AGO,2010,SH.DYN.MORT,83.4
AGO,2011,SH.DYN.MORT,77.2
AGO,2012,SH.DYN.MORT,72
AGO,2013,SH.DYN.MORT,67.9
AGO,2014,SH.DYN.MORT,64.5
AGO,2015,SH.DYN.MORT,61.8
AGO,2016,SH.DYN.MORT,59.6
AGO,2017,SH.DYN.MORT,57.9
AGO,2018,SH.DYN.MORT,56.5
AGO,2019,SH.DYN.MORT,55.3
AGO,2020,SH.DYN.MORT,54.2
AGO,2021,SH.DYN.MORT,53.2
AGO,2022,SH.DYN.MORT,51.9
AGO,2000,SH.IMM.IDPT,31
AGO,2001,SH.IMM.IDPT,42
AGO,2002,SH.IMM.IDPT,47
AGO,2003,SH.IMM.IDPT,46
AGO,2004,SH.IMM.IDPT,47
AGO,2005,SH.IMM.IDPT,47
AGO,2006,SH.IMM.IDPT,44
AGO,2007,SH.IMM.IDPT,43
AGO,2008,SH.IMM.IDPT,45
AGO,2009,SH.IMM.IDPT,47
AGO,2010,SH.IMM.IDPT,49
AGO,2011,SH.IMM.IDPT,50
AGO,2012,SH.IMM.IDPT,52
AGO,2013,SH.IMM.IDPT,54
AGO,2014,SH.IMM.IDPT,55
AGO,2015,SH.IMM.IDPT,57
AGO,2016,SH.IMM.IDPT,59
AGO,2017,SH.IMM.IDPT,58
AGO,2018,SH.IMM.IDPT,67
AGO,2019,SH.IMM.IDPT,64
AGO,2020,SH.IMM.IDPT,59
AGO,2021,SH.IMM.IDPT,55
AGO,2022,SH.IMM.IDPT,54
AGO,2000,SH.IMM.MEAS,41
AGO,2001,SH.IMM.MEAS,72
AGO,2002,SH.IMM.MEAS,74
AGO,2003,SH.IMM.MEAS,62
AGO,2004,SH.IMM.MEAS,64
AGO,2005,SH.IMM.MEAS,45
AGO,2006,SH.IMM.MEAS,48
AGO,2007,SH.IMM.MEAS,58
AGO,2008,SH.IMM.MEAS,58
AGO,2009,SH.IMM.MEAS,58
AGO,2010,SH.IMM.MEAS,59
AGO,2011,SH.IMM.MEAS,59
AGO,2012,SH.IMM.MEAS,59
AGO,2013,SH.IMM.MEAS,59
AGO,2014,SH.IMM.MEAS,56
AGO,2015,SH.IMM.MEAS,52
AGO,2016,SH.IMM.MEAS,49
AGO,2017,SH.IMM.MEAS,47
AGO,2018,SH.IMM.MEAS,56
AGO,2019,SH.IMM.MEAS,59
AGO,2020,SH.IMM.MEAS,54
AGO,2021,SH.IMM.MEAS,48
AGO,2022,SH.IMM.MEAS,50
AGO,2000,SH.MLR.INCD.P3,326.54
AGO,2001,SH.MLR.INCD.P3,330.8
AGO,2002,SH.MLR.INCD.P3,315.7
AGO,2003,SH.MLR.INCD.P3,319.29
AGO,2004,SH.MLR.INCD.P3,312.65
AGO,2005,SH.MLR.INCD.P3,313.87
AGO,2006,SH.MLR.INCD.P3,299.9
AGO,2007,SH.MLR.INCD.P3,269.53
AGO,2008,SH.MLR.INCD.P3,228.06
AGO,2009,SH.MLR.INCD.P3,193.51
AGO,2010,SH.MLR.INCD.P3,170.36
AGO,2011,SH.MLR.INCD.P3,157.06
AGO,2012,SH.MLR.INCD.P3,153.05
AGO,2013,SH.MLR.INCD.P3,158.1
AGO,2014,SH.MLR.INCD.P3,163.86
AGO,2015,SH.MLR.INCD.P3,174.47
AGO,2016,SH.MLR.INCD.P3,189.78
AGO,2017,SH.MLR.INCD.P3,215.31
AGO,2018,SH.MLR.INCD.P3,232.44
AGO,2019,SH.MLR.INCD.P3,243.1
AGO,2020,SH.MLR.INCD.P3,244.53
AGO,2021,SH.MLR.INCD.P3,258.61
AGO,2022,SH.MLR.INCD.P3,260.09
AGO,2000,SH.STA.MMRT,659
AGO,2001,SH.STA.MMRT,629
AGO,2002,SH.STA.MMRT,602
AGO,2003,SH.STA.MMRT,538
AGO,2004,SH.STA.MMRT,499
AGO,2005,SH.STA.MMRT,462
AGO,2006,SH.STA.MMRT,437
AGO,2007,SH.STA.MMRT,401
AGO,2008,SH.STA.MMRT,372
AGO,2009,SH.STA.MMRT,348
AGO,2010,SH.STA.MMRT,321
AGO,2011,SH.STA.MMRT,301
AGO,2012,SH.STA.MMRT,278
AGO,2013,SH.STA.MMRT,267
AGO,2014,SH.STA.MMRT,262
AGO,2015,SH.STA.MMRT,249
AGO,2016,SH.STA.MMRT,236
AGO,2017,SH.STA.MMRT,220
AGO,2018,SH.STA.MMRT,208
AGO,2019,SH.STA.MMRT,202
AGO,2020,SH.STA.MMRT,195
AGO,2021,SH.STA.MMRT,211
AGO,2022,SH.STA.MMRT,185
AGO,2000,SH.XPD.CHEX.PC.CD,13.15998554
AGO,2001,SH.XPD.CHEX.PC.CD,29.26095772
AGO,2002,SH.XPD.CHEX.PC.CD,29.37077141
AGO,2003,SH.XPD.CHEX.PC.CD,35.2206955
AGO,2004,SH.XPD.CHEX.PC.CD,50.23310852
AGO,2005,SH.XPD.CHEX.PC.CD,54.66142273
AGO,2006,SH.XPD.CHEX.PC.CD,70.28185272
AGO,2007,SH.XPD.CHEX.PC.CD,93.42698669
AGO,2008,SH.XPD.CHEX.PC.CD,136.34094238
AGO,2009,SH.XPD.CHEX.PC.CD,120.5289917
AGO,2010,SH.XPD.CHEX.PC.CD,96.95197296
AGO,2011,SH.XPD.CHEX.PC.CD,122.11888123
AGO,2012,SH.XPD.CHEX.PC.CD,121.84848022
AGO,2013,SH.XPD.CHEX.PC.CD,142.78450012
AGO,2014,SH.XPD.CHEX.PC.CD,130.5861969
AGO,2015,SH.XPD.CHEX.PC.CD,107.52857208
AGO,2016,SH.XPD.CHEX.PC.CD,94.01481628
AGO,2017,SH.XPD.CHEX.PC.CD,112.75364685
AGO,2018,SH.XPD.CHEX.PC.CD,83.87555695
AGO,2019,SH.XPD.CHEX.PC.CD,64.4466095
AGO,2020,SH.XPD.CHEX.PC.CD,56.01641846
AGO,2021,SH.XPD.CHEX.PC.CD,66.94487
AGO,2022,SH.XPD.CHEX.PC.CD,103.94506073
AGO,2000,SP.DYN.IMRT.IN,108.3
AGO,2001,SP.DYN.IMRT.IN,103.8
AGO,2002,SP.DYN.IMRT.IN,98.4
AGO,2003,SP.DYN.IMRT.IN,92.5
AGO,2004,SP.DYN.IMRT.IN,85.8
AGO,2005,SP.DYN.IMRT.IN,78.9
AGO,2006,SP.DYN.IMRT.IN,72.2
AGO,2007,SP.DYN.IMRT.IN,66
AGO,2008,SP.DYN.IMRT.IN,60.3
AGO,2009,SP.DYN.IMRT.IN,55.4
AGO,2010,SP.DYN.IMRT.IN,51.1
AGO,2011,SP.DYN.IMRT.IN,47.6
AGO,2012,SP.DYN.IMRT.IN,44.6
AGO,2013,SP.DYN.IMRT.IN,42.2
AGO,2014,SP.DYN.IMRT.IN,40.3
AGO,2015,SP.DYN.IMRT.IN,38.8
AGO,2016,SP.DYN.IMRT.IN,37.6
AGO,2017,SP.DYN.IMRT.IN,36.7
AGO,2018,SP.DYN.IMRT.IN,36
AGO,2019,SP.DYN.IMRT.IN,35.5
AGO,2020,SP.DYN.IMRT.IN,34.9
