iso3,year,Under-5 mortality rate,DPT immunization (ages 12-23 months),Measles immunization (ages 12-23 months),Malaria incidence,Maternal mortality ratio,Health expenditure per capita,Infant mortality rate,Life expectancy at birth
AGO,2000,185,31,41,326.54,659,13.15998554,108.3,46.501
AGO,2001,176.3,42,72,330.8,629,29.26095772,103.8,47.032
AGO,2002,166.4,47,74,315.7,602,29.37077141,98.4,47.874
AGO,2003,155.5,46,62,319.29,538,35.2206955,92.5,50.218
AGO,2004,143.7,47,64,312.65,499,50.23310852,85.8,51.123
AGO,2005,131.5,47,45,313.87,462,54.66142273,78.9,52.13
AGO,2006,119.8,44,48,299.9,437,70.28185272,72.2,52.965
AGO,2007,109,43,58,269.53,401,93.42698669,66,54.2
AGO,2008,99.2,45,58,228.06,372,136.34094238,60.3,55.281
AGO,2009,90.7,47,58,193.51,348,120.5289917,55.4,56.225
AGO,2010,83.4,49,59,170.36,321,96.95197296,51.1,57.242
AGO,2011,77.2,50,59,157.06,301,122.11888123,47.6,58.093
AGO,2012,72,52,59,153.05,278,121.84848022,44.6,58.916
AGO,2013,67.9,54,59,158.1,267,142.78450012,42.2,59.705
AGO,2014,64.5,55,56,163.86,262,130.5861969,40.3,60.396
AGO,2015,61.8,57,52,174.47,249,107.52857208,38.8,61.042
AGO,2016,59.6,59,49,189.78,236,94.01481628,37.6,61.619
AGO,2017,57.9,58,47,215.31,220,112.75364685,36.7,62.122
AGO,2018,56.5,67,56,232.44,208,83.87555695,36,62.622
AGO,2019,55.3,64,59,243.1,202,64.4466095,35.5,63.051
AGO,2020,54.2,59,54,244.53,195,56.01641846,34.9,63.116
AGO,2021,53.2,55,48,258.61,211,66.94487,34.4,62.958
AGO,2022,51.9,54,50,260.09,185,103.94506073,33.7,64.246
BDI,2000,152.4,80,72,427.48,860,5.67927122,88.4,47.617
BDI,2001,147.5,81,73,416.12,799,7.50815582,86.1,48.509
BDI,2002,142.3,81,75,388.13,743,6.46998882,83.5,49.924
BDI,2003,136.6,82,76,343.45,705,5.87316799,80.6,50.997
BDI,2004,130.4,83,78,295.97,687,8.88248062,77.4,52.217
BDI,2005,123.7,87,87,284.48,685,11.13118172,73.8,53.053
BDI,2006,116.6,92,92,287.78,670,14.10514736,69.9,53.962
BDI,2007,109.5,99,88,287.94,655,15.26294613,66,54.832
BDI,2008,102.6,92,84,288.77,635,14.67025566,62.1,55.581
BDI,2009,96.1,94,91,281.56,612,18.31996346,58.4,56.422
BDI,2010,90.2,96,92,259.34,614,24.45114708,55.1,57.088
BDI,2011,84.7,96,93,245.35,597,23.16802216,52,57.804
BDI,2012,79.6,96,93,232.24,575,20.01195908,49.1,58.501
BDI,2013,74.9,96,98,234.96,555,20.26322556,46.4,59.179
BDI,2014,70.6,95,94,250.86,533,18.06601143,43.9,59.764
BDI,2015,66.9,94,93,285,525,17.67629051,41.8,60.107
BDI,2016,63.7,94,93,321.3,501,18.59472847,40,60.789
BDI,2017,60.9,91,90,346.29,482,19.16676521,38.4,61.345
BDI,2018,58.5,90,88,350.82,464,18.67819214,37,61.806
BDI,2019,56.2,93,92,345.28,449,22.2435379,35.7,62.18
BDI,2020,54.3,93,90,345.14,441,26.21934319,34.6,62.569
BDI,2021,52.3,94,90,349.97,447,23.11420059,33.5,62.101
BDI,2022,50.3,91,89,342.31,412,25.52155113,32.4,62.882
BEN,2000,135,78,70,416,529,14.42371464,79.7,56.594
BEN,2001,131.7,76,68,434.27,532,16.26979828,77.8,56.654
BEN,2002,128.5,75,66,453.46,534,16.9179287,76,56.851
BEN,2003,125.4,73,65,473.3,532,21.06955719,74.3,57.092
BEN,2004,122.5,72,63,495.55,531,24.52665329,72.6,57.346
BEN,2005,119.7,70,61,510.17,514,25.12485313,71,57.738
BEN,2006,117,74,66,508.93,509,26.60264206,69.4,57.966
BEN,2007,114.4,82,70,496.75,501,26.79680061,67.9,58.249
BEN,2008,112,75,66,473.51,563,28.12486076,66.5,58.099
BEN,2009,109.7,79,71,448.56,598,29.69425583,65.1,58.258
BEN,2010,107.4,76,68,417.07,607,29.37720871,63.8,58.387
BEN,2011,105.1,75,70,382.99,613,31.76816368,62.4,58.462
BEN,2012,102.9,80,74,365.18,618,32.95616913,61.1,58.559
